Reporting Area,MMWR Year,MMWR Week,"Pertussis, Current week 2021","Pertussis, Previous 52 weeks Max","Pertussis, Cum 2020","Pertussis, Cum 2019"
US RESIDENTS,2020,17,24,468,3680,4428
NEW HAMPSHIRE,2020,17,,5,3,22
NEW YORK,2020,17,,30,117,171
PACIFIC,2020,17,1,87,637,988
WEST SOUTH CENTRAL,2020,17,2,118,187,201
NEBRASKA,2020,17,,11,40,49
EAST SOUTH CENTRAL,2020,17,1,28,196,197
NORTH DAKOTA,2020,17,,7,13,3
NEVADA,2020,17,,6,7,30
ILLINOIS,2020,17,,46,284,158
IOWA,2020,17,,17,17,60
TEXAS,2020,17,1,117,144,171
ALASKA,2020,17,,4,7,8
DISTRICT OF COLUMBIA,2020,17,,4,7,5
WASHINGTON,2020,17,,32,198,162
NEW ENGLAND,2020,17,,26,85,302
RHODE ISLAND,2020,17,,8,3,4
OREGON,2020,17,1,20,139,63
DELAWARE,2020,17,,3,11,
ALABAMA,2020,17,,14,84,69
KANSAS,2020,17,,3,,38
NORTH CAROLINA,2020,17,,20,97,118
GUAM,2020,17,,2,,
EAST NORTH CENTRAL,2020,19,8,125,883,846
TENNESSEE,2020,19,1,14,68,71
CONNECTICUT,2020,19,,5,4,15
MARYLAND,2020,19,,6,18,30
SOUTH CAROLINA,2020,19,,10,11,83
NEW JERSEY,2020,17,,11,,88
NEW MEXICO,2020,17,,9,33,62
EAST NORTH CENTRAL,2020,17,7,125,832,777
TENNESSEE,2020,17,,14,63,65
CONNECTICUT,2020,17,,5,4,15
MARYLAND,2020,17,,6,18,29
SOUTH CAROLINA,2020,17,,10,11,75
OKLAHOMA,2020,17,,10,,
NORTHERN MARIANA ISLANDS,2020,17,,0,,
OHIO,2020,17,6,51,383,258
MINNESOTA,2020,17,,15,51,135
LOUISIANA,2020,17,,5,15,30
HAWAII,2020,17,,4,10,10
SOUTH ATLANTIC,2020,17,11,79,511,483
PENNSYLVANIA,2020,17,2,50,327,106
UTAH,2020,17,,15,46,116
COLORADO,2020,17,,21,139,144
VERMONT,2020,17,,5,11,6
KENTUCKY,2020,17,1,14,43,49
PUERTO RICO,2020,17,,0,,
MAINE,2020,17,,13,27,176
VIRGINIA,2020,17,1,43,65,52
ARIZONA,2020,17,,28,260,132
AMERICAN SAMOA,2020,17,,0,,
WISCONSIN,2020,17,1,42,61,164
IDAHO,2020,17,,17,42,29
U.S. VIRGIN ISLANDS,2020,17,,0,,
MICHIGAN,2020,17,,21,76,125
GEORGIA,2020,17,2,23,113,95
NEW YORK CITY,2020,17,,15,35,50
ARKANSAS,2020,17,1,5,28,
MISSISSIPPI,2020,17,,3,6,14
SOUTH DAKOTA,2020,17,,8,2,68
WYOMING,2020,17,,7,11,4
MISSOURI,2020,17,,19,56,85
MIDDLE ATLANTIC,2020,17,2,82,479,415
CALIFORNIA,2020,17,,65,283,745
WEST VIRGINIA,2020,17,,5,15,5
FLORIDA,2020,17,8,22,174,104
MONTANA,2020,17,,59,36,110
WEST NORTH CENTRAL,2020,17,,46,179,438
MASSACHUSETTS,2020,17,,14,37,79
MOUNTAIN,2020,17,,98,574,627
INDIANA,2020,17,,11,28,72
NON-US RESIDENTS,2020,17,,0,,
US TERRITORIES,2020,17,,2,,
OKLAHOMA,2020,19,,10,,
NORTHERN MARIANA ISLANDS,2020,19,,0,,
OHIO,2020,19,8,51,404,280
MINNESOTA,2020,19,,15,51,151
LOUISIANA,2020,19,,5,15,36
HAWAII,2020,19,,4,9,11
SOUTH ATLANTIC,2020,19,4,82,553,552
PENNSYLVANIA,2020,19,1,50,337,120
UTAH,2020,19,,15,48,130
COLORADO,2020,19,,21,145,173
VERMONT,2020,19,,5,11,8
KENTUCKY,2020,19,,14,46,56
PUERTO RICO,2020,19,,0,,
MAINE,2020,19,,13,27,194
VIRGINIA,2020,19,1,43,70,59
ARIZONA,2020,19,4,27,271,141
AMERICAN SAMOA,2020,19,,0,,
WISCONSIN,2020,19,,42,79,171
IDAHO,2020,19,,17,52,33
U.S. VIRGIN ISLANDS,2020,19,,0,,
MICHIGAN,2020,19,,21,79,144
GEORGIA,2020,19,,12,131,111
NEW YORK CITY,2020,19,,15,35,55
ARKANSAS,2020,19,,5,29,
MISSISSIPPI,2020,19,,3,8,15
SOUTH DAKOTA,2020,19,,8,2,74
WYOMING,2020,19,,4,11,14
MISSOURI,2020,19,,19,56,97
MIDDLE ATLANTIC,2020,19,2,84,490,460
CALIFORNIA,2020,19,,65,302,829
WEST VIRGINIA,2020,19,,5,15,7
FLORIDA,2020,19,3,22,182,120
MONTANA,2020,19,1,59,37,218
WEST NORTH CENTRAL,2020,19,,46,180,487
MASSACHUSETTS,2020,19,,14,37,91
MOUNTAIN,2020,19,5,98,604,805
INDIANA,2020,19,,11,31,76
NON-US RESIDENTS,2020,19,,0,,
US TERRITORIES,2020,19,,2,,
TOTAL,2020,30,12,461,4412,8507
US RESIDENTS,2020,30,12,461,4412,8504
NEW HAMPSHIRE,2020,30,,2,4,37
NEW YORK,2020,30,,31,127,317
PACIFIC,2020,30,1,67,584,1643
WEST SOUTH CENTRAL,2020,30,1,120,244,563
NEBRASKA,2020,30,,11,51,91
EAST SOUTH CENTRAL,2020,30,,28,274,407
NORTH DAKOTA,2020,30,,7,16,4
NEVADA,2020,30,,6,7,39
ILLINOIS,2020,30,,46,316,319
IOWA,2020,30,,13,21,135
TEXAS,2020,30,1,119,182,502
ALASKA,2020,30,,3,7,22
DISTRICT OF COLUMBIA,2020,30,,4,9,11
WASHINGTON,2020,30,,32,224,311
NEW ENGLAND,2020,30,,28,91,507
RHODE ISLAND,2020,30,,8,3,6
OREGON,2020,30,1,20,6,198
DELAWARE,2020,30,,3,13,4
ALABAMA,2020,30,,14,137,141
KANSAS,2020,30,,0,,46
NORTH CAROLINA,2020,30,,20,150,245
GUAM,2020,30,,2,,3
NEW JERSEY,2020,30,,11,,163
NEW MEXICO,2020,30,,9,44,71
EAST NORTH CENTRAL,2020,30,2,125,1020,1453
TOTAL,2020,20,22,461,3998,5413
NEW HAMPSHIRE,2020,20,,5,3,25
NEW YORK,2020,20,,31,118,200
PACIFIC,2020,20,,87,673,1182
WEST SOUTH CENTRAL,2020,20,2,118,190,277
NEBRASKA,2020,20,2,11,42,60
EAST SOUTH CENTRAL,2020,20,1,28,233,235
NORTH DAKOTA,2020,20,,7,13,3
NEVADA,2020,20,,6,7,32
ILLINOIS,2020,20,,46,294,186
IOWA,2020,20,,17,18,67
TEXAS,2020,20,,117,144,237
ALASKA,2020,20,,4,7,12
DISTRICT OF COLUMBIA,2020,20,,4,7,6
WASHINGTON,2020,20,,32,209,196
NEW ENGLAND,2020,20,,26,85,348
RHODE ISLAND,2020,20,,8,3,4
OREGON,2020,20,,20,142,83
TENNESSEE,2020,30,,9,76,119
CONNECTICUT,2020,30,,5,4,37
MARYLAND,2020,30,,6,26,44
SOUTH CAROLINA,2020,30,,10,11,136
OKLAHOMA,2020,30,,10,,8
EAST NORTH CENTRAL,2020,24,1,125,952,1095
DELAWARE,2020,20,,3,11,
ALABAMA,2020,20,1,14,110,83
KANSAS,2020,20,,2,,43
NORTH CAROLINA,2020,20,,20,123,144
GUAM,2020,20,,2,,
NEW JERSEY,2020,20,,11,,104
NEW MEXICO,2020,20,,9,33,52
EAST NORTH CENTRAL,2020,20,7,125,895,895
TENNESSEE,2020,20,,14,69,75
CONNECTICUT,2020,20,,5,4,16
MARYLAND,2020,20,,6,20,32
SOUTH CAROLINA,2020,20,,10,11,88
OKLAHOMA,2020,20,,10,,
NORTHERN MARIANA ISLANDS,2020,20,,0,,
OHIO,2020,20,7,51,411,293
MINNESOTA,2020,20,,15,51,157
LOUISIANA,2020,20,,4,15,40
HAWAII,2020,20,,4,10,11
SOUTH ATLANTIC,2020,20,3,83,577,587
PENNSYLVANIA,2020,20,1,50,343,127
UTAH,2020,20,,15,48,137
COLORADO,2020,20,5,21,150,183
VERMONT,2020,20,,5,11,8
KENTUCKY,2020,20,,14,46,61
PUERTO RICO,2020,20,,0,,
MAINE,2020,20,,13,27,201
VIRGINIA,2020,20,,43,70,63
ARIZONA,2020,20,1,27,273,152
AMERICAN SAMOA,2020,20,,0,,
WISCONSIN,2020,20,,42,79,183
IDAHO,2020,20,,17,52,37
U.S. VIRGIN ISLANDS,2020,20,,0,,
MICHIGAN,2020,20,,21,79,152
GEORGIA,2020,20,2,12,137,117
NEW YORK CITY,2020,20,,15,38,62
ARKANSAS,2020,20,2,5,31,
MISSISSIPPI,2020,20,,3,8,16
SOUTH DAKOTA,2020,20,,8,2,75
WYOMING,2020,20,,4,11,17
MISSOURI,2020,20,,19,109,109
MIDDLE ATLANTIC,2020,20,1,84,499,493
CALIFORNIA,2020,20,,65,305,880
WEST VIRGINIA,2020,20,,5,15,8
FLORIDA,2020,20,1,22,183,129
MONTANA,2020,20,,54,37,272
WEST NORTH CENTRAL,2020,20,2,46,235,514
MASSACHUSETTS,2020,20,,14,37,94
MOUNTAIN,2020,20,6,89,611,882
INDIANA,2020,20,,11,32,81
NON-US RESIDENTS,2020,20,,0,,
US TERRITORIES,2020,20,,2,,
NORTHERN MARIANA ISLANDS,2020,30,,0,,
OHIO,2020,30,2,51,449,454
MINNESOTA,2020,30,,13,74,241
LOUISIANA,2020,30,,4,28,53
HAWAII,2020,30,,4,14,17
SOUTH ATLANTIC,2020,30,1,83,689,965
PENNSYLVANIA,2020,30,3,50,363,228
UTAH,2020,30,,15,49,212
COLORADO,2020,30,2,21,180,304
VERMONT,2020,30,,5,11,15
KENTUCKY,2020,30,,14,53,116
PUERTO RICO,2020,30,,0,,
MAINE,2020,30,,13,28,270
VIRGINIA,2020,30,,43,77,108
ARIZONA,2020,30,2,27,310,209
AMERICAN SAMOA,2020,30,,0,,
WISCONSIN,2020,30,,24,119,289
IDAHO,2020,30,,17,59,94
U.S. VIRGIN ISLANDS,2020,30,,0,,
MICHIGAN,2020,30,,21,92,259
GEORGIA,2020,30,,13,181,173
NEW YORK CITY,2020,30,,15,46,90
ARKANSAS,2020,30,,5,34,
MISSISSIPPI,2020,30,,3,8,31
SOUTH DAKOTA,2020,30,,8,2,97
WYOMING,2020,30,,4,11,21
MISSOURI,2020,30,,19,113,185
MIDDLE ATLANTIC,2020,30,3,84,536,798
CALIFORNIA,2020,30,,48,333,1095
WEST VIRGINIA,2020,30,,5,21,18
FLORIDA,2020,30,1,22,201,226
MONTANA,2020,30,,13,37,419
WEST NORTH CENTRAL,2020,30,,37,277,799
TOTAL,2020,24,10,459,4409,6675
US RESIDENTS,2020,24,10,459,4409,6675
NEW HAMPSHIRE,2020,24,,5,4,29
NEW YORK,2020,24,1,31,120,245
PACIFIC,2020,24,,95,860,1438
WEST SOUTH CENTRAL,2020,24,,118,200,382
MASSACHUSETTS,2020,30,,16,41,142
NEBRASKA,2020,24,1,11,47,68
EAST SOUTH CENTRAL,2020,24,,28,245,290
NORTH DAKOTA,2020,24,,7,15,3
NEVADA,2020,24,,6,7,34
ILLINOIS,2020,24,,46,307,243
IOWA,2020,24,,17,19,90
TEXAS,2020,24,,117,144,335
ALASKA,2020,24,,3,7,20
DISTRICT OF COLUMBIA,2020,24,,4,9,8
WASHINGTON,2020,24,,32,218,244
NEW ENGLAND,2020,24,,28,90,415
RHODE ISLAND,2020,24,,8,3,4
OREGON,2020,24,,42,304,139
DELAWARE,2020,24,,3,11,3
ALABAMA,2020,24,,14,118,104
KANSAS,2020,24,,0,,46
NORTH CAROLINA,2020,24,,20,131,176
GUAM,2020,24,,2,,
NEW JERSEY,2020,24,,11,,133
NEW MEXICO,2020,24,,9,42,59
TENNESSEE,2020,24,,14,72,84
TOTAL,2020,21,39,461,4236,5744
US RESIDENTS,2020,21,39,461,4236,5744
NEW HAMPSHIRE,2020,21,,5,3,27
NEW YORK,2020,21,,31,118,207
PACIFIC,2020,21,1,93,823,1256
WEST SOUTH CENTRAL,2020,21,2,118,197,305
NEBRASKA,2020,21,1,11,43,64
EAST SOUTH CENTRAL,2020,21,,28,236,248
NORTH DAKOTA,2020,21,,7,13,3
NEVADA,2020,21,,6,7,32
ILLINOIS,2020,21,,46,296,192
IOWA,2020,21,,17,19,71
TEXAS,2020,21,,117,144,261
ALASKA,2020,21,,4,7,13
DISTRICT OF COLUMBIA,2020,21,,4,7,8
WASHINGTON,2020,21,,32,213,204
NEW ENGLAND,2020,21,,26,85,367
RHODE ISLAND,2020,21,,8,3,4
OREGON,2020,21,1,40,286,105
CONNECTICUT,2020,24,,5,4,22
MARYLAND,2020,24,,6,21,35
SOUTH CAROLINA,2020,24,,10,11,110
OKLAHOMA,2020,24,,10,,
NORTHERN MARIANA ISLANDS,2020,24,,0,,
DELAWARE,2020,21,,3,11,
ALABAMA,2020,21,,14,113,89
KANSAS,2020,21,,2,,45
NORTH CAROLINA,2020,21,,20,125,154
GUAM,2020,21,,2,,
NEW JERSEY,2020,21,,11,,107
NEW MEXICO,2020,21,,9,34,54
EAST NORTH CENTRAL,2020,21,10,125,926,929
TENNESSEE,2020,21,,14,69,79
CONNECTICUT,2020,21,,5,4,18
MARYLAND,2020,21,,6,20,35
SOUTH CAROLINA,2020,21,,10,11,95
OKLAHOMA,2020,21,,10,,
NORTHERN MARIANA ISLANDS,2020,21,,0,,
OHIO,2020,21,10,51,421,307
MINNESOTA,2020,21,,15,51,166
LOUISIANA,2020,21,,4,20,44
HAWAII,2020,21,,4,10,11
SOUTH ATLANTIC,2020,21,13,83,600,624
PENNSYLVANIA,2020,21,1,50,347,138
UTAH,2020,21,,15,48,142
COLORADO,2020,21,,21,150,195
VERMONT,2020,21,,5,11,9
KENTUCKY,2020,21,,14,46,63
PUERTO RICO,2020,21,,0,,
MAINE,2020,21,,13,27,211
VIRGINIA,2020,21,1,43,73,66
ARIZONA,2020,21,11,27,285,158
AMERICAN SAMOA,2020,21,,0,,
WISCONSIN,2020,21,,42,95,187
IDAHO,2020,21,,17,52,39
U.S. VIRGIN ISLANDS,2020,21,,0,,
MICHIGAN,2020,21,,21,82,159
GEORGIA,2020,21,6,13,148,120
NEW YORK CITY,2020,21,,15,39,64
ARKANSAS,2020,21,2,5,33,
MISSISSIPPI,2020,21,,3,8,17
SOUTH DAKOTA,2020,21,,8,2,81
WYOMING,2020,21,,4,11,17
MISSOURI,2020,21,,19,113,117
MIDDLE ATLANTIC,2020,21,1,84,504,516
CALIFORNIA,2020,21,,65,307,923
WEST VIRGINIA,2020,21,,5,16,9
FLORIDA,2020,21,6,22,189,137
MONTANA,2020,21,,43,37,315
WEST NORTH CENTRAL,2020,21,1,46,241,547
MASSACHUSETTS,2020,21,,14,37,98
MOUNTAIN,2020,21,11,70,624,952
INDIANA,2020,21,,11,32,84
NON-US RESIDENTS,2020,21,,0,,
US TERRITORIES,2020,21,,2,,
OHIO,2020,24,1,51,430,353
MINNESOTA,2020,24,,15,62,183
LOUISIANA,2020,24,,4,23,47
HAWAII,2020,24,,4,10,14
SOUTH ATLANTIC,2020,24,2,83,629,719
PENNSYLVANIA,2020,24,1,50,353,169
UTAH,2020,24,,15,48,172
COLORADO,2020,24,2,21,168,234
VERMONT,2020,24,,5,11,13
KENTUCKY,2020,24,,14,47,80
PUERTO RICO,2020,24,,0,,
MAINE,2020,24,,13,27,234
VIRGINIA,2020,24,,43,74,78
ARIZONA,2020,24,2,27,293,171
AMERICAN SAMOA,2020,24,,0,,
WISCONSIN,2020,24,,42,97,206
IDAHO,2020,24,,17,52,53
U.S. VIRGIN ISLANDS,2020,24,,0,,
MICHIGAN,2020,24,,21,86,195
GEORGIA,2020,24,,13,156,136
NEW YORK CITY,2020,24,,15,44,69
ARKANSAS,2020,24,,5,33,
MISSISSIPPI,2020,24,,3,8,22
SOUTH DAKOTA,2020,24,,8,2,85
WYOMING,2020,24,,4,11,18
MISSOURI,2020,24,,19,113,139
MIDDLE ATLANTIC,2020,24,2,84,517,616
CALIFORNIA,2020,24,,58,321,1021
WEST VIRGINIA,2020,24,,5,19,12
FLORIDA,2020,24,2,22,197,161
MONTANA,2020,24,,16,37,365
WEST NORTH CENTRAL,2020,24,1,46,258,614
MASSACHUSETTS,2020,24,,16,41,113
MOUNTAIN,2020,24,4,62,658,1106
INDIANA,2020,24,,11,32,98
NON-US RESIDENTS,2020,24,,0,,
US TERRITORIES,2020,24,,2,,
CONNECTICUT,2020,25,,5,4,23
MARYLAND,2020,25,,6,21,41
SOUTH CAROLINA,2020,25,,10,11,113
MOUNTAIN,2020,30,4,63,697,1369
INDIANA,2020,30,,11,44,132
NON-US RESIDENTS,2020,30,,0,,
US TERRITORIES,2020,30,,2,,3
TOTAL,2020,34,11,459,4639,9749
US RESIDENTS,2020,34,11,459,4639,9744
NEW HAMPSHIRE,2020,34,,2,4,38
NEW YORK,2020,34,,31,128,382
PACIFIC,2020,34,3,76,689,1699
WEST SOUTH CENTRAL,2020,34,1,120,248,691
NEBRASKA,2020,34,,11,51,105
EAST SOUTH CENTRAL,2020,34,,24,283,490
NORTH DAKOTA,2020,34,,7,16,13
NEVADA,2020,34,,6,9,41
ILLINOIS,2020,34,,46,320,378
IOWA,2020,34,,13,23,159
TEXAS,2020,34,,119,182,617
ALASKA,2020,34,,3,8,26
DISTRICT OF COLUMBIA,2020,34,,4,9,17
WASHINGTON,2020,34,,32,225,358
NEW ENGLAND,2020,34,,24,92,592
TOTAL,2020,22,22,461,4298,6037
US RESIDENTS,2020,22,22,461,4298,6037
NEW HAMPSHIRE,2020,22,,5,4,28
NEW YORK,2020,22,,31,118,215
PACIFIC,2020,22,1,95,849,1310
WEST SOUTH CENTRAL,2020,22,,118,197,328
NEBRASKA,2020,22,1,11,44,66
EAST SOUTH CENTRAL,2020,22,,28,238,262
NORTH DAKOTA,2020,22,,7,13,3
NEVADA,2020,22,,6,7,33
ILLINOIS,2020,22,,46,297,212
IOWA,2020,22,,17,19,72
TEXAS,2020,22,,117,144,282
ALASKA,2020,22,,4,7,17
DISTRICT OF COLUMBIA,2020,22,,4,7,8
WASHINGTON,2020,22,,32,214,219
NEW ENGLAND,2020,22,,26,86,380
RHODE ISLAND,2020,22,,8,3,4
OREGON,2020,22,,42,301,121
RHODE ISLAND,2020,34,,8,4,8
OREGON,2020,34,3,20,103,219
DELAWARE,2020,34,,3,13,4
ALABAMA,2020,34,,14,144,179
KANSAS,2020,34,,0,,46
NORTH CAROLINA,2020,34,,20,152,293
DELAWARE,2020,22,,3,11,
ALABAMA,2020,22,,14,114,96
KANSAS,2020,22,,1,,45
NORTH CAROLINA,2020,22,,20,125,161
GUAM,2020,22,,2,,
NEW JERSEY,2020,22,,11,,116
NEW MEXICO,2020,22,,9,34,55
EAST NORTH CENTRAL,2020,22,4,125,931,992
TENNESSEE,2020,22,,14,69,81
CONNECTICUT,2020,22,,5,4,19
MARYLAND,2020,22,,6,21,35
SOUTH CAROLINA,2020,22,,10,11,101
OKLAHOMA,2020,22,,10,,
NORTHERN MARIANA ISLANDS,2020,22,,0,,
OHIO,2020,22,4,51,425,324
MINNESOTA,2020,22,,15,52,171
LOUISIANA,2020,22,,4,20,46
HAWAII,2020,22,,4,10,11
SOUTH ATLANTIC,2020,22,6,83,610,646
PENNSYLVANIA,2020,22,3,50,350,151
UTAH,2020,22,,15,48,154
COLORADO,2020,22,7,21,162,211
VERMONT,2020,22,,5,11,9
KENTUCKY,2020,22,,14,47,67
PUERTO RICO,2020,22,,0,,
MAINE,2020,22,,13,27,217
VIRGINIA,2020,22,,43,73,69
ARIZONA,2020,22,,27,285,161
AMERICAN SAMOA,2020,22,,0,,
WISCONSIN,2020,22,,42,95,198
IDAHO,2020,22,,17,52,42
U.S. VIRGIN ISLANDS,2020,22,,0,,
MICHIGAN,2020,22,,21,82,169
GEORGIA,2020,22,,13,149,123
NEW YORK CITY,2020,22,,15,40,66
ARKANSAS,2020,22,,5,33,
MISSISSIPPI,2020,22,,3,8,18
SOUTH DAKOTA,2020,22,,8,2,83
WYOMING,2020,22,,4,11,17
MISSOURI,2020,22,,19,113,124
MIDDLE ATLANTIC,2020,22,3,84,508,548
CALIFORNIA,2020,22,1,61,317,942
WEST VIRGINIA,2020,22,,5,18,10
FLORIDA,2020,22,6,22,195,139
MONTANA,2020,22,,19,37,334
WEST NORTH CENTRAL,2020,22,1,46,243,564
MASSACHUSETTS,2020,22,,14,37,103
MOUNTAIN,2020,22,7,62,636,1007
INDIANA,2020,22,,11,32,89
NON-US RESIDENTS,2020,22,,0,,
US TERRITORIES,2020,22,,2,,
CONNECTICUT,2020,29,,5,4,32
MAINE,2020,29,,13,28,266
MASSACHUSETTS,2020,29,,16,41,138
VERMONT,2020,29,,5,11,13
MIDDLE ATLANTIC,2020,29,1,84,532,750
NEW JERSEY,2020,29,,11,,158
NEW YORK CITY,2020,29,,15,46,84
PENNSYLVANIA,2020,29,,50,359,208
EAST NORTH CENTRAL,2020,29,1,125,1016,1404
MICHIGAN,2020,29,,21,92,250
OHIO,2020,29,1,51,447,438
WISCONSIN,2020,29,,24,118,282
WEST NORTH CENTRAL,2020,29,1,37,265,771
MINNESOTA,2020,29,,13,62,234
MISSOURI,2020,29,,19,113,178
SOUTH DAKOTA,2020,29,,8,2,95
SOUTH ATLANTIC,2020,29,4,83,682,928
FLORIDA,2020,29,,22,200,221
GEORGIA,2020,29,4,13,178,166
MARYLAND,2020,29,,6,26,44
NORTH CAROLINA,2020,29,,20,148,232
SOUTH CAROLINA,2020,29,,10,11,136
VIRGINIA,2020,29,,43,76,102
WEST VIRGINIA,2020,29,,5,21,13
KENTUCKY,2020,29,,14,53,111
MISSISSIPPI,2020,29,,3,8,31
TENNESSEE,2020,29,,14,76,116
ARKANSAS,2020,29,,5,34,
LOUISIANA,2020,29,,4,28,52
OKLAHOMA,2020,29,,10,,1
MOUNTAIN,2020,29,1,63,692,1331
ARIZONA,2020,29,,27,308,201
COLORADO,2020,29,1,21,178,290
IDAHO,2020,29,,17,59,90
MONTANA,2020,29,,13,37,418
NEW MEXICO,2020,29,,9,44,69
UTAH,2020,29,,15,48,206
WYOMING,2020,29,,4,11,19
CALIFORNIA,2020,29,,,,
OKLAHOMA,2020,25,,10,,
NORTHERN MARIANA ISLANDS,2020,25,,0,,
OHIO,2020,25,3,51,433,369
MINNESOTA,2020,25,,15,62,190
LOUISIANA,2020,25,,4,24,48
HAWAII,2020,25,,4,10,14
SOUTH ATLANTIC,2020,25,2,83,637,761
PENNSYLVANIA,2020,25,1,50,354,176
UTAH,2020,25,,15,48,177
COLORADO,2020,25,7,21,172,245
VERMONT,2020,25,,5,11,13
KENTUCKY,2020,25,,14,47,87
PUERTO RICO,2020,25,,0,,
MAINE,2020,25,,13,27,245
VIRGINIA,2020,25,,43,74,83
ARIZONA,2020,25,3,27,299,177
AMERICAN SAMOA,2020,25,,0,,
WISCONSIN,2020,25,1,42,100,213
IDAHO,2020,25,,17,55,62
U.S. VIRGIN ISLANDS,2020,25,,0,,
MICHIGAN,2020,25,,21,91,205
GEORGIA,2020,25,1,13,162,140
NEW YORK CITY,2020,25,,15,44,70
ARKANSAS,2020,25,1,5,34,
MISSISSIPPI,2020,25,,3,8,24
SOUTH DAKOTA,2020,25,,8,2,88
WYOMING,2020,25,,4,11,18
MISSOURI,2020,25,,19,113,142
MIDDLE ATLANTIC,2020,25,2,84,520,642
CALIFORNIA,2020,25,1,48,327,1070
WEST VIRGINIA,2020,25,,5,19,12
FLORIDA,2020,25,1,22,198,173
MONTANA,2020,25,,16,37,379
WEST NORTH CENTRAL,2020,25,1,46,261,636
MASSACHUSETTS,2020,25,,16,41,118
MOUNTAIN,2020,25,10,63,672,1153
INDIANA,2020,25,,11,33,102
NON-US RESIDENTS,2020,25,,0,,
US TERRITORIES,2020,25,,2,,
HAWAII,2020,29,,4,13,17
AMERICAN SAMOA,2020,29,,0,,
NORTHERN MARIANA ISLANDS,2020,29,,0,,
GUAM,2020,29,,2,,2
PUERTO RICO,2020,29,,0,,
U.S. VIRGIN ISLANDS,2020,29,,0,,
GUAM,2020,34,,2,,5
NEW JERSEY,2020,34,,11,,187
NEW MEXICO,2020,34,,8,50,90
EAST NORTH CENTRAL,2020,34,,125,1036,1688
TENNESSEE,2020,34,,9,78,141
CONNECTICUT,2020,34,,4,4,45
MARYLAND,2020,34,4,6,31,51
SOUTH CAROLINA,2020,34,,10,11,160
OKLAHOMA,2020,34,,10,,13
NORTHERN MARIANA ISLANDS,2020,34,,0,,
OHIO,2020,34,,51,455,528
MINNESOTA,2020,34,,13,83,274
LOUISIANA,2020,34,,4,28,61
HAWAII,2020,34,,4,14,21
SOUTH ATLANTIC,2020,34,5,82,702,1184
PENNSYLVANIA,2020,34,,50,378,265
UTAH,2020,34,,16,77,257
COLORADO,2020,34,2,17,190,306
VERMONT,2020,34,,5,11,16
KENTUCKY,2020,34,,14,53,133
PUERTO RICO,2020,34,,0,,
MAINE,2020,34,,12,28,304
VIRGINIA,2020,34,1,43,80,147
ARIZONA,2020,34,,27,314,236
AMERICAN SAMOA,2020,34,,0,,
WISCONSIN,2020,34,,24,121,321
IDAHO,2020,34,,17,59,122
U.S. VIRGIN ISLANDS,2020,34,,0,,
MICHIGAN,2020,34,,21,94,308
GEORGIA,2020,34,,13,182,218
NEW YORK CITY,2020,34,,15,48,120
ARKANSAS,2020,34,1,5,38,
MISSISSIPPI,2020,34,,2,8,37
SOUTH DAKOTA,2020,34,,8,2,107
WYOMING,2020,34,,4,11,23
MISSOURI,2020,34,,19,113,218
MIDDLE ATLANTIC,2020,34,,84,554,954
CALIFORNIA,2020,34,,35,339,1075
WEST VIRGINIA,2020,34,,4,21,24
FLORIDA,2020,34,,22,203,270
MONTANA,2020,34,,13,37,449
WEST NORTH CENTRAL,2020,34,,37,288,922
MASSACHUSETTS,2020,34,,14,41,181
MOUNTAIN,2020,34,2,64,747,1524
INDIANA,2020,34,,7,46,153
NON-US RESIDENTS,2020,34,,0,,
US TERRITORIES,2020,34,,2,,5
MAINE,2020,36,,12,28,317
VIRGINIA,2020,36,1,43,82,162
ARIZONA,2020,36,1,27,317,249
WISCONSIN,2020,36,,24,121,343
IDAHO,2020,36,,17,59,131
U.S. VIRGIN ISLANDS,2020,36,,0,,
MICHIGAN,2020,36,,21,95,319
GEORGIA,2020,36,,13,184,232
NEW YORK CITY,2020,36,,15,50,137
ARKANSAS,2020,36,,5,38,
MISSISSIPPI,2020,36,,2,8,41
SOUTH DAKOTA,2020,36,,8,2,111
WYOMING,2020,36,,4,11,24
MISSOURI,2020,36,,19,113,233
TOTAL,2020,26,5,460,4483,7337
US RESIDENTS,2020,26,5,460,4483,7336
NEW HAMPSHIRE,2020,26,,5,4,34
NEW YORK,2020,26,,31,122,276
PACIFIC,2020,26,,96,874,1570
WEST SOUTH CENTRAL,2020,26,,118,202,447
NEBRASKA,2020,26,,11,48,72
EAST SOUTH CENTRAL,2020,26,1,28,255,326
NORTH DAKOTA,2020,26,,7,16,3
NEVADA,2020,26,,6,7,37
ILLINOIS,2020,26,,46,307,270
IOWA,2020,26,,17,21,115
TEXAS,2020,26,,117,144,397
ALASKA,2020,26,,3,7,21
DISTRICT OF COLUMBIA,2020,26,,4,9,9
WASHINGTON,2020,26,,32,220,270
NEW ENGLAND,2020,26,,28,91,449
RHODE ISLAND,2020,26,,8,3,6
OREGON,2020,26,,42,306,154
DELAWARE,2020,26,,3,11,3
ALABAMA,2020,26,,14,121,116
KANSAS,2020,26,,0,,46
NORTH CAROLINA,2020,26,,20,132,199
GUAM,2020,26,,2,,1
NEW JERSEY,2020,26,,11,,142
MIDDLE ATLANTIC,2020,36,1,84,563,1027
CALIFORNIA,2020,36,,35,350,1443
WEST VIRGINIA,2020,36,,4,21,24
FLORIDA,2020,36,1,22,204,287
MONTANA,2020,36,,9,37,457
