Reporting Area,MMWR Year,MMWR Week,"Pertussis, Current week 2021","Pertussis, Previous 52 weeks Max","Pertussis, Cum 2020","Pertussis, Cum 2019"
UTAH,2020,6,,12,2,46
COLORADO,2020,6,5,21,52,53
VERMONT,2020,6,2,5,8,3
KENTUCKY,2020,6,,11,16,19
PUERTO RICO,2020,6,,0,,
MAINE,2020,6,,17,16,66
VIRGINIA,2020,6,1,25,23,9
ARIZONA,2020,6,14,18,88,48
AMERICAN SAMOA,2020,6,,0,,
WISCONSIN,2020,6,,42,28,56
IDAHO,2020,6,,17,12,15
U.S. VIRGIN ISLANDS,2020,6,,0,,
MICHIGAN,2020,6,,21,20,57
GEORGIA,2020,6,,4,1,25
NEW YORK CITY,2020,6,,15,12,30
ARKANSAS,2020,6,3,7,9,10
MISSISSIPPI,2020,6,,3,5,5
SOUTH DAKOTA,2020,6,,11,,31
WYOMING,2020,6,,7,9,
MISSOURI,2020,6,3,19,20,38
MIDDLE ATLANTIC,2020,6,20,80,203,157
CALIFORNIA,2020,6,,64,75,269
WEST VIRGINIA,2020,6,,5,,
FLORIDA,2020,6,21,15,69,39
MONTANA,2020,6,,95,2,53
WEST NORTH CENTRAL,2020,6,5,46,42,167
MASSACHUSETTS,2020,6,,14,4,32
MOUNTAIN,2020,6,19,134,179,249
INDIANA,2020,6,,11,9,26
NON-US RESIDENTS,2020,6,,0,,
US TERRITORIES,2020,6,,2,,
KANSAS,2020,9,,4,,26
NORTH CAROLINA,2020,9,,20,45,54
GUAM,2020,9,,2,,
NEW JERSEY,2020,9,,11,,49
NEW MEXICO,2020,9,,9,22,36
EAST NORTH CENTRAL,2020,9,30,123,506,483
TENNESSEE,2020,9,,14,37,30
CONNECTICUT,2020,9,,5,1,10
MARYLAND,2020,9,1,6,12,19
SOUTH CAROLINA,2020,9,,11,11,40
OKLAHOMA,2020,9,,10,,
NORTHERN MARIANA ISLANDS,2020,9,,0,,
OHIO,2020,9,30,51,275,190
MINNESOTA,2020,9,,15,9,64
LOUISIANA,2020,9,,5,8,18
HAWAII,2020,9,,4,6,4
